code_family,outfield
PCAI,Persistence > Cloud Application Integration — Adversaries may achieve persistence by leveraging OAuth application integrations in a software-as-a-service environment.
DCID,Discovery > Cloud Infrastructure Discovery — An adversary may attempt to discover infrastructure and resources that are available within an infrastructure-as-a-service (IaaS) environment.
DCSD,"Discovery > Cloud Service Dashboard — An adversary may use a cloud service dashboard GUI with stolen credentials to gain useful information from an operational cloud environment, such as specific services, resources, and features."
DCSD,Discovery > Cloud Service Discovery — An adversary may attempt to enumerate the cloud services running on a system after gaining access.
DCSOD,Discovery > Cloud Storage Object Discovery — Adversaries may enumerate objects in cloud storage infrastructure.
ECASI,"Execution > Command and Scripting Interpreter — Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries."
CACCTRM,Command and Control > Communication Through Removable Media — Adversaries can perform command and control between compromised hosts on potentially disconnected networks using removable media to transfer commands from system to system.
RDCA,Resource Development > Compromise Accounts — Adversaries may compromise accounts with services that can be used during targeting.
PCHSB,Persistence > Compromise Host Software Binary — Adversaries may modify host software binaries to establish persistent access to systems.
RDCI,Resource Development > Compromise Infrastructure — Adversaries may compromise third-party infrastructure that can be used during targeting.
ECAC,Execution > Container Administration Command — Adversaries may abuse a container administration service to execute commands within a container.
DCARD,Discovery > Container and Resource Discovery — Adversaries may attempt to discover containers and other resources that are available within a containers environment.
CACCI,Command and Control > Content Injection — Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic.
IACI,Initial Access > Content Injection — Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic.
PCA,Persistence > Create Account — Adversaries may create an account to maintain access to victim systems.
PCOMSP,Persistence > Create or Modify System Process — Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence.
PECOMSP,Privilege Escalation > Create or Modify System Process — Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence.
CACFPS,Credential Access > Credentials from Password Stores — Adversaries may search for common password storage locations to obtain user credentials.
IDD,"Impact > Data Destruction — Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources."
CACDE,Command and Control > Data Encoding — Adversaries may encode data to make the content of command and control traffic more difficult to detect.
IDEFI,Impact > Data Encrypted for Impact — Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources.
IDM,"Impact > Data Manipulation — Adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data."
CACDO,Command and Control > Data Obfuscation — Adversaries may obfuscate command and control traffic to make it more difficult to detect.
CDS,Collection > Data Staged — Adversaries may stage collected data in a central location or directory prior to Exfiltration.
EDTSL,Exfiltration > Data Transfer Size Limits — An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds.
CDFCS,Collection > Data from Cloud Storage — Adversaries may access data from cloud storage.
CDFCR,Collection > Data from Configuration Repository — Adversaries may collect data related to managed devices from configuration repositories.
CDFIR,Collection > Data from Information Repositories — Adversaries may leverage information repositories to mine valuable information.
CDFLS,"Collection > Data from Local System — Adversaries may search local system sources, such as file systems, configuration files, local databases, or virtual machine files, to find files of interest and sensitive data prior to Exfiltration."
CDFNSD,Collection > Data from Network Shared Drive — Adversaries may search network shares on computers they have compromised to find files of interest.
CDFRM,Collection > Data from Removable Media — Adversaries may search connected removable media on computers they have compromised to find files of interest.
DEDE,Defense Evasion > Debugger Evasion — Adversaries may employ various means to detect and avoid debuggers.
DDE,Discovery > Debugger Evasion — Adversaries may employ various means to detect and avoid debuggers.
ID,"Impact > Defacement — Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content."
DEDDFOI,Defense Evasion > Deobfuscate/Decode Files or Information — Adversaries may use [Obfuscated Files or Information](https:
DEDC,Defense Evasion > Deploy Container — Adversaries may deploy a container into an environment to facilitate execution or evade defenses.
EDC,Execution > Deploy Container — Adversaries may deploy a container into an environment to facilitate execution or evade defenses.
RDDC,Resource Development > Develop Capabilities — Adversaries may build capabilities that can be used during targeting.
DDDD,Discovery > Device Driver Discovery — Adversaries may attempt to enumerate local device drivers on a victim host.
DEDVA,Defense Evasion > Direct Volume Access — Adversaries may directly access a volume to bypass file access controls and file system monitoring.
IDW,Impact > Disk Wipe — Adversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network to interrupt availability to system and network resources.
DDTD,Discovery > Domain Trust Discovery — Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments.
DEDOTPM,Defense Evasion > Domain or Tenant Policy Modification — Adversaries may modify the configuration settings of a domain or identity tenant to evade defenses and/or escalate privileges in centrally managed environments.
PEDOTPM,Privilege Escalation > Domain or Tenant Policy Modification — Adversaries may modify the configuration settings of a domain or identity tenant to evade defenses and/or escalate privileges in centrally managed environments.
IADBC,Initial Access > Drive-by Compromise — Adversaries may gain access to a system through a user visiting a website over the normal course of browsing.
CACDR,Command and Control > Dynamic Resolution — Adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations.
EEAC,Execution > ESXi Administration Command — Adversaries may abuse ESXi administration services to execute commands on guest machines hosted within an ESXi virtual environment.
IEB,Impact > Email Bombing — Adversaries may flood targeted email addresses with an overwhelming volume of messages.
CEC,Collection > Email Collection — Adversaries may target user email to collect sensitive information.
DEES,"Defense Evasion > Email Spoofing — Adversaries may fake, or spoof, a sender’s identity by modifying the value of relevant email headers in order to establish contact with victims under false pretenses."
CACEC,Command and Control > Encrypted Channel — Adversaries may employ an encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol.
IEDOS,Impact > Endpoint Denial of Service — Adversaries may perform Endpoint Denial of Service (DoS) attacks to degrade or block the availability of services to users.
PEETH,Privilege Escalation > Escape to Host — Adversaries may break out of a container or virtualized environment to gain access to the underlying host.
RDEA,Resource Development > Establish Accounts — Adversaries may create and cultivate accounts with services that can be used during targeting.
PETE,Persistence > Event Triggered Execution — Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events.
PEETE,Privilege Escalation > Event Triggered Execution — Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events.
PEC,"Persistence > Exclusive Control — Adversaries who successfully compromise a system may attempt to maintain persistence by “closing the door” behind them – in other words, by preventing other threat actors from initially accessing or maintaining a foothold on the same system."
DEEG,Defense Evasion > Execution Guardrails — Adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target.
EEOAP,Exfiltration > Exfiltration Over Alternative Protocol — Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel.
EEOCC,Exfiltration > Exfiltration Over C2 Channel — Adversaries may steal data by exfiltrating it over an existing command and control channel.
EEOONM,Exfiltration > Exfiltration Over Other Network Medium — Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel.
EEOPM,"Exfiltration > Exfiltration Over Physical Medium — Adversaries may attempt to exfiltrate data via a physical medium, such as a removable drive."
EEOWS,"Exfiltration > Exfiltration Over Web Service — Adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command and control channel."
IAEPFA,Initial Access > Exploit Public-Facing Application — Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network.
EEFCE,Execution > Exploitation for Client Execution — Adversaries may exploit software vulnerabilities in client applications to execute code.
CAEFCA,Credential Access > Exploitation for Credential Access — Adversaries may exploit software vulnerabilities in an attempt to collect credentials.
DEEFDE,Defense Evasion > Exploitation for Defense Evasion — Adversaries may exploit a system or application vulnerability to bypass security features.
PEEFPE,Privilege Escalation > Exploitation for Privilege Escalation — Adversaries may exploit software vulnerabilities in an attempt to elevate privileges.
LMEORS,Lateral Movement > Exploitation of Remote Services — Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network.
IAERS,Initial Access > External Remote Services — Adversaries may leverage external-facing remote services to initially access and/or persist within a network.
PERS,Persistence > External Remote Services — Adversaries may leverage external-facing remote services to initially access and/or persist within a network.
CACFC,Command and Control > Fallback Channels — Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.
DFADD,Discovery > File and Directory Discovery — Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system.
DEFADPM,Defense Evasion > File and Directory Permissions Modification — Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.
IFT,"Impact > Financial Theft — Adversaries may steal monetary resources from targets through extortion, social engineering, technical theft, or other methods aimed at their own financial gain at the expense of the availability of these resources for victims."
IFC,"Impact > Firmware Corruption — Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot, thus denying the availability to use the devices and/or the system."
CAFA,Credential Access > Forced Authentication — Adversaries may gather credential material by invoking or forcing a user to automatically provide authentication information through a mechanism in which they can intercept.
CAFWC,Credential Access > Forge Web Credentials — Adversaries may forge credential materials that can be used to gain access to web applications or Internet services.
RGVHI,Reconnaissance > Gather Victim Host Information — Adversaries may gather information about the victim's hosts that can be used during targeting.
RGVII,Reconnaissance > Gather Victim Identity Information — Adversaries may gather information about the victim's identity that can be used during targeting.
RGVNI,Reconnaissance > Gather Victim Network Information — Adversaries may gather information about the victim's networks that can be used during targeting.
RGVOI,Reconnaissance > Gather Victim Org Information — Adversaries may gather information about the victim's organization that can be used during targeting.
DGPD,"Discovery > Group Policy Discovery — Adversaries may gather information on Group Policy settings to identify paths for privilege escalation, security measures applied within a domain, and to discover patterns in domain objects that can be manipulated or used to blend in the environment."
IAHA,"Initial Access > Hardware Additions — Adversaries may physically introduce computer accessories, networking hardware, or other computing devices into a system or network that can be used as a vector to gain access."
DEHA,Defense Evasion > Hide Artifacts — Adversaries may attempt to hide artifacts associated with their behaviors to evade detection.
CACHI,Command and Control > Hide Infrastructure — Adversaries may manipulate network traffic in order to hide and evade detection of their C2 infrastructure.
DEHEF,Defense Evasion > Hijack Execution Flow — Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs.
PHEF,Persistence > Hijack Execution Flow — Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs.
PEHEF,Privilege Escalation > Hijack Execution Flow — Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs.
DEID,Defense Evasion > Impair Defenses — Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms.
DEI,Defense Evasion > Impersonation — Adversaries may impersonate a trusted person or organization in order to persuade and trick a target into performing some action on their behalf.
PIII,Persistence > Implant Internal Image — Adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment.
DEIR,Defense Evasion > Indicator Removal — Adversaries may delete or modify artifacts generated within systems to remove evidence of their presence or hinder defenses.
DEICE,Defense Evasion > Indirect Command Execution — Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters.
CACITT,Command and Control > Ingress Tool Transfer — Adversaries may transfer tools or other files from an external system into a compromised environment.
IISR,Impact > Inhibit System Recovery — Adversaries may delete or remove built-in data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery.
CIC,Collection > Input Capture — Adversaries may use methods of capturing user input to obtain credentials or collect information.
CAIC,Credential Access > Input Capture — Adversaries may use methods of capturing user input to obtain credentials or collect information.
EII,"Execution > Input Injection — Adversaries may simulate keystrokes on a victim’s computer by various means to perform any type of action on behalf of the user, such as launching the command interpreter using keyboard shortcuts, typing an inline script to be executed, or interacting directly with a GUI-based application."
EIPC,Execution > Inter-Process Communication — Adversaries may abuse inter-process communication (IPC) mechanisms for local code or command execution.
LMIS,"Lateral Movement > Internal Spearphishing — After they already have access to accounts or systems within the environment, adversaries may use internal spearphishing to gain access to additional information or compromise other users within the same organization."
LMLTT,Lateral Movement > Lateral Tool Transfer — Adversaries may transfer tools or other files between systems in a compromised environment.
DLE,Discovery > Log Enumeration — Adversaries may enumerate system and service logs to find useful data.
DEM,Defense Evasion > Masquerading — Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools.
CAMAP,Credential Access > Modify Authentication Process — Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts.
DEMAP,Defense Evasion > Modify Authentication Process — Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts.
PMAP,Persistence > Modify Authentication Process — Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts.
DEMCCI,Defense Evasion > Modify Cloud Compute Infrastructure — An adversary may attempt to modify a cloud account's compute service infrastructure to evade defenses.
DEMCRH,Defense Evasion > Modify Cloud Resource Hierarchy — Adversaries may attempt to modify hierarchical structures in infrastructure-as-a-service (IaaS) environments in order to evade defenses.
DEMR,"Defense Evasion > Modify Registry — Adversaries may interact with the Windows Registry as part of a variety of other techniques to aid in defense evasion, persistence, and execution."
PMR,"Persistence > Modify Registry — Adversaries may interact with the Windows Registry as part of a variety of other techniques to aid in defense evasion, persistence, and execution."
DEMSI,Defense Evasion > Modify System Image — Adversaries may make changes to the operating system of embedded network devices to weaken defenses and provide new capabilities for themselves.
CAMFAI,"Credential Access > Multi-Factor Authentication Interception — Adversaries may target multi-factor authentication (MFA) mechanisms, (i."
CAMFARG,Credential Access > Multi-Factor Authentication Request Generation — Adversaries may attempt to bypass multi-factor authentication (MFA) mechanisms and gain access to accounts by generating MFA requests sent to users.
CACMSC,Command and Control > Multi-Stage Channels — Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions.
ENA,Execution > Native API — Adversaries may interact with the native OS application programming interface (API) to execute behaviors.
DENBB,Defense Evasion > Network Boundary Bridging — Adversaries may bridge network boundaries by compromising perimeter network devices or internal devices responsible for network segmentation.
INDOS,Impact > Network Denial of Service — Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users.
DNSD,"Discovery > Network Service Discovery — Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation."
DNSD,Discovery > Network Share Discovery — Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.
CANS,"Credential Access > Network Sniffing — Adversaries may passively sniff network traffic to capture information about an environment, including authentication material passed over the network."
DNS,"Discovery > Network Sniffing — Adversaries may passively sniff network traffic to capture information about an environment, including authentication material passed over the network."
CACNALP,Command and Control > Non-Application Layer Protocol — Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network.
CACNSP,Command and Control > Non-Standard Port — Adversaries may communicate using a protocol and port pairing that are typically not associated.
CAOCD,"Credential Access > OS Credential Dumping — Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password."
DEOFOI,"Defense Evasion > Obfuscated Files or Information — Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit."
RDOC,Resource Development > Obtain Capabilities — Adversaries may buy and/or steal capabilities that can be used during targeting.
POAS,Persistence > Office Application Startup — Adversaries may leverage Microsoft Office-based applications for persistence between startups.
DPPD,Discovery > Password Policy Discovery — Adversaries may attempt to access detailed information about the password policy used within an enterprise network or cloud environment.
DPDD,Discovery > Peripheral Device Discovery — Adversaries may attempt to gather information about attached peripheral devices and components connected to a computer system.
DPGD,Discovery > Permission Groups Discovery — Adversaries may attempt to discover group and permission settings.
IAP,Initial Access > Phishing — Adversaries may send phishing messages to gain access to victim systems.
RPFI,Reconnaissance > Phishing for Information — Adversaries may send phishing messages to elicit sensitive information that can be used during targeting.
DEPFM,"Defense Evasion > Plist File Modification — Adversaries may modify property list files (plist files) to enable other malicious activity, while also potentially evading and bypassing system defenses."
PPS,"Persistence > Power Settings — Adversaries may impair a system's ability to hibernate, reboot, or shut down in order to extend access to infected machines."
DEPOB,Defense Evasion > Pre-OS Boot — Adversaries may abuse Pre-OS Boot mechanisms as a way to establish persistence on a system.
PPOB,Persistence > Pre-OS Boot — Adversaries may abuse Pre-OS Boot mechanisms as a way to establish persistence on a system.
DPD,Discovery > Process Discovery — Adversaries may attempt to get information about running processes on a system.
DEPI,Defense Evasion > Process Injection — Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges.
PEPI,Privilege Escalation > Process Injection — Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges.
CACPT,Command and Control > Protocol Tunneling — Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection/network filtering and/or enable access to otherwise unreachable systems.
CACP,Command and Control > Proxy — Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure.
DQR,"Discovery > Query Registry — Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software."
DERCL,Defense Evasion > Reflective Code Loading — Adversaries may reflectively load code into a process in order to conceal the execution of malicious payloads.
CACRAT,Command and Control > Remote Access Tools — An adversary may use legitimate remote access tools to establish an interactive command and control channel within a network.
LMRSSH,Lateral Movement > Remote Service Session Hijacking — Adversaries may take control of preexisting sessions with remote services to move laterally in an environment.
LMRS,Lateral Movement > Remote Services — Adversaries may use [Valid Accounts](https:
DRSD,"Discovery > Remote System Discovery — Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system."
IARTRM,"Initial Access > Replication Through Removable Media — Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the media is inserted into a system and executes."
LMRTRM,"Lateral Movement > Replication Through Removable Media — Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the media is inserted into a system and executes."
IRH,"Impact > Resource Hijacking — Adversaries may leverage the resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability."
DERDC,Defense Evasion > Rogue Domain Controller — Adversaries may register a rogue Domain Controller to enable manipulation of Active Directory data.
DER,"Defense Evasion > Rootkit — Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components."
ESTJ,Execution > Scheduled Task/Job — Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code.
PSTJ,Persistence > Scheduled Task/Job — Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code.
PESTJ,Privilege Escalation > Scheduled Task/Job — Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code.
EST,Exfiltration > Scheduled Transfer — Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals.
CSC,Collection > Screen Capture — Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation.
RSCS,Reconnaissance > Search Closed Sources — Adversaries may search and gather information about victims from closed (e.
RSOTD,Reconnaissance > Search Open Technical Databases — Adversaries may search freely available technical databases for information about victims that can be used during targeting.
RSOWD,Reconnaissance > Search Open Websites/Domains — Adversaries may search freely available websites and/or domains for information about victims that can be used during targeting.
RSVOW,Reconnaissance > Search Victim-Owned Websites — Adversaries may search websites owned by the victim for information that can be used during targeting.
PSSC,Persistence > Server Software Component — Adversaries may abuse legitimate extensible development features of servers to establish persistent access to systems.
ESE,"Execution > Serverless Execution — Adversaries may abuse serverless computing, integration, and automation services to execute arbitrary code in cloud environments."
ISS,Impact > Service Stop — Adversaries may stop or disable services on a system to render those services unavailable to legitimate users.
ESM,Execution > Shared Modules — Adversaries may execute malicious payloads via loading shared modules.
ESDT,Execution > Software Deployment Tools — Adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network.
LMSDT,Lateral Movement > Software Deployment Tools — Adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network.
DSD,Discovery > Software Discovery — Adversaries may attempt to get a listing of software and software versions that are installed on a system or in a cloud environment.
PSE,Persistence > Software Extensions — Adversaries may abuse software extensions to establish persistent access to victim systems.
RDSC,"Resource Development > Stage Capabilities — Adversaries may upload, install, or otherwise set up capabilities that can be used during targeting."
CASAAT,Credential Access > Steal Application Access Token — Adversaries can steal application access tokens as a means of acquiring credentials to access remote systems and resources.
CASWSC,Credential Access > Steal Web Session Cookie — An adversary may steal web application or service session cookies and use them to gain access to web applications or Internet services as an authenticated user without needing credentials.
CASOFAC,Credential Access > Steal or Forge Authentication Certificates — Adversaries may steal or forge certificates used for authentication to access remote systems or resources.
CASOFKT,Credential Access > Steal or Forge Kerberos Tickets — Adversaries may attempt to subvert Kerberos authentication by stealing or forging Kerberos tickets to enable [Pass the Ticket](https:
DESTC,Defense Evasion > Subvert Trust Controls — Adversaries may undermine security controls that will either warn users of untrusted activity or prevent execution of untrusted programs.
IASCC,Initial Access > Supply Chain Compromise — Adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise.
DESBPE,"Defense Evasion > System Binary Proxy Execution — Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries."
DSID,"Discovery > System Information Discovery — An adversary may attempt to get detailed information about the operating system and hardware, including version, patches, hotfixes, service packs, and architecture."
DSLD,Discovery > System Location Discovery — Adversaries may gather information in an attempt to calculate the geographical location of a victim host.
DSNCD,"Discovery > System Network Configuration Discovery — Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems."
DSNCD,Discovery > System Network Connections Discovery — Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.
DSOUD,"Discovery > System Owner/User Discovery — Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system."
DESSPE,"Defense Evasion > System Script Proxy Execution — Adversaries may use trusted scripts, often signed with certificates, to proxy the execution of malicious files."
DSSD,Discovery > System Service Discovery — Adversaries may try to gather information about registered local system services.
ESS,Execution > System Services — Adversaries may abuse system services or daemons to execute commands or programs.
ISSR,"Impact > System Shutdown/Reboot — Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems."
DSTD,Discovery > System Time Discovery — An adversary may gather the system time and/or time zone settings from a local or remote system.
LMTSC,"Lateral Movement > Taint Shared Content — Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories."
DETI,Defense Evasion > Template Injection — Adversaries may create or modify references in user document templates to conceal malicious code or force authentication attempts.
CACTS,Command and Control > Traffic Signaling — Adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control.
DETS,Defense Evasion > Traffic Signaling — Adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control.
PTS,Persistence > Traffic Signaling — Adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control.
ETDTCA,"Exfiltration > Transfer Data to Cloud Account — Adversaries may exfiltrate data by transferring the data, including through sharing/syncing and creating backups of cloud environments, to another cloud account they control on the same service."
DETDUPE,Defense Evasion > Trusted Developer Utilities Proxy Execution — Adversaries may take advantage of trusted developer utilities to proxy execution of malicious payloads.
IATR,Initial Access > Trusted Relationship — Adversaries may breach or otherwise leverage organizations who have access to intended victims.
CAUC,Credential Access > Unsecured Credentials — Adversaries may search compromised systems to find and obtain insecurely stored credentials.
DEUUCR,Defense Evasion > Unused/Unsupported Cloud Regions — Adversaries may create cloud instances in unused geographic service regions in order to evade detection.
DEUAAM,"Defense Evasion > Use Alternate Authentication Material — Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls."
LMUAAM,"Lateral Movement > Use Alternate Authentication Material — Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls."
EUE,Execution > User Execution — An adversary may rely upon specific actions by a user in order to gain execution.
DEVA,"Defense Evasion > Valid Accounts — Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
IAVA,"Initial Access > Valid Accounts — Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PVA,"Persistence > Valid Accounts — Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PEVA,"Privilege Escalation > Valid Accounts — Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
