Code,Text
"GISRA
12",". Chris is advising travelers from his organization who will be visiting many different countries overseas. He is concerned about compliance with export control laws. Which of the following technologies is most likely to trigger these regulations? 1 . Memory chips 2 . Office productivity applications 3 . Hard drives 4 . Encryption software 13 . Bobbi is investigating a security incident and discovers that an attacker began with a normal user account but managed to exploit a system vulnerability to provide that account with administrative rights. What type of attack took place under the STRIDE threat model? 1 . Spoofing 2 . Repudiation 3 . Tampering 4 . Elevation of privilege 14 . You are completing your business continuity planning effort and have decided that you want to accept one of the risks. What should you do next? 1 . Implement new security controls to reduce the risk level. 2 . Design a disaster recovery plan. 3 . Repeat the business impact assessment. 4 . Document your decision-making process. 15 . You are completing a review of the controls used to protect a media storage facility in your organization and would like to properly categorize each control that is currently in place. Which of the following control categories accurately describe a fence around a facility? (Select all that apply.) 1 . Physical 2 . Detection 3 . Deterrent 4 . Preventive 16 . Tony is developing a business continuity plan and is having difficulty prioritizing resources because of the difficulty of combining information about tangible and intangible assets. What would be the most effective risk assessment approach for him to use? 1 . Quantitative risk assessment 2 . Qualitative risk assessment 3 . Neither quantitative nor qualitative risk assessment 4 . Combination of quantitative and qualitative risk assessment 17 . Vincent believes that a former employee took trade secret information from his firm and brought it with him to a competitor. He wants to pursue legal action. Under what law could he pursue charges? 1 . Copyright law 2 . Lanham Act 3 . Glass-Steagall Act 4 . Economic Espionage Act 18 . Which one of the following principles imposes a standard of care upon an individual that is broad and equivalent to what one would expect from a reasonable person under the circumstances? 1 . Due diligence 2 . Separation of duties 13/220 3 . Due care 4 . Least privilege 19 . Brenda's organization recently completed the acquisition of a competitor firm. Which one of the following tasks would be LEAST likely to be part of the organizational processes addressed during the acquisition? 1 . Consolidation of security functions 2 . Integration of security tools 3 . Protection of intellectual property 4 . Documentation of security policies 20 . Kelly believes that an employee engaged in the unauthorized use of computing resources for a side business. After consulting with management, she decides to launch an administrative investigation. What is the burden of proof that she must meet in this investigation? 1 . Preponderance of the evidence. 2 . Beyond a reasonable doubt. 3 . Beyond the shadow of a doubt. 4 . There is no standard. 21 . Keenan Systems recently developed a new manufacturing process for microprocessors. The company wants to license the technology to other companies for use but wants to prevent unauthorized use of the technology. What type of intellectual property protection is best suited for this situation? 1 . Patent 2 . Trade secret 3 . Copyright 4 . Trademark 22 . Which one of the following actions might be taken as part of a business continuity plan? 1 . Restoring from backup tapes 2 . Implementing RAID 3 . Relocating to a cold site 4 . Restarting business operations 23 . When developing a business impact analysis, the team should first create a list of assets. What should happen next? 1 . Identify vulnerabilities in each asset. 2 . Determine the risks facing the asset. 3 . Develop a value for each asset. 4 . Identify threats facing each asset. 24 . Mike recently implemented an intrusion prevention system designed to block common network attacks from affecting his organization. What type of risk management strategy is Mike pursuing? 1 . Risk acceptance 2 . Risk avoidance 3 . Risk mitigation 4 . Risk transference 25 . Laura has been asked to perform a security controls assessment (SCA). What type of organization is she most likely in? 1 . Higher education 2 . Banking 3 . Government 4 . Healthcare 26 . Carl is a federal agent investigating a computer crime case. He identified an attacker who engaged in illegal conduct and wants to pursue a case against that individual that will lead to imprisonment. What standard of proof must Carl meet? 1 . Beyond the shadow of a doubt 2 . Preponderance of the evidence 3 . Beyond a reasonable doubt 4 . Majority of the evidence 27 . ISC2 uses the logo shown here to represent itself online and in a variety of forums. What type of intellectual property protection can it use to protect its rights in this logo? Source: ISC2, Inc. 1 . Copyright 2 . Patent 3 . Trade secret 4 . Trademark 28 . Mary is helping a computer user who sees the following message appear on his computer screen. What type of attack has occurred? 14/220 Source: CryptoLocker 1 . Availability 2 . Confidentiality 3 . Disclosure 4 . Distributed 29 . Which one of the following organizations would not be automatically subject to the privacy and security requirements of HIPAA if they engage in electronic transactions? 1 . Healthcare provider 2 . Health and fitness application developer 3 . Health information clearinghouse 4 . Health insurance plan 30 . John's network begins to experience symptoms of slowness. Upon investigation, he realizes that the network is being bombarded with TCP SYN packets and believes that his organization is the victim of a denial-of-service attack. What principle of information security is being violated? 1 . Availability 2 . Integrity 3 . Confidentiality 4 . Denial 31 . Renee is designing a long-term security plan for her organization and has a three- to five-year planning horizon. Her primary goal is to align the security function with the broader plans and objectives of the business. What type of plan is she developing? 1 . Operational 2 . Tactical 3 . Summary 4 . Strategic 32 . Gina is working to protect a logo that her company will use for a new product they are launching. She has questions about the intellectual property protection process for this logo. What U.S. government agency would be best able to answer her questions? 1 ."
"USPTO
2",. Library of Congress 3 .
"NSA
4",.
"NIST
33",. The Acme Widgets Company is putting new controls in place for its accounting department. Management is concerned that a rogue accountant may be able to create a new false vendor and then issue checks to that vendor as payment for services that were never rendered. What security control can best help prevent this situation? 1 . Mandatory vacation 2 . Segregation of duties 3 . Defense in depth 4 . Job rotation 34 . Which one of the following categories of organizations is most likely to be covered by the provisions of FISMA? 1 . Banks 2 . Defense contractors 3 . School districts 4 . Hospitals 35 . Robert is responsible for securing systems used to process credit card information. What security control framework should guide his actions? 1 .
"HIPAA
2",. PCI DSS 3 .
"SOX
4",.
"GLBA
36",". Which one of the following individuals is normally responsible for fulfilling the operational data protection responsibilities delegated by senior management, such as validating data 15/220 integrity, testing backups, and managing security policies? 1 . Data custodian 2 . Data owner 3 . User 4 . Auditor 37 . Alan works for an e-commerce company that recently had some content stolen by another website and republished without permission. What type of intellectual property protection would best preserve Alan's company's rights? 1 . Trade secret 2 . Copyright 3 . Trademark 4 . Patent 38 . Florian receives a flyer from a U.S. federal government agency announcing that a new administrative law will affect his business operations. Where should he go to find the text of the law? 1 . U.S. Code 2 . Supreme Court rulings 3 . Code of Federal Regulations 4 . Compendium of Laws 39 . Tom enables an application firewall provided by his cloud infrastructure as a service provider that is designed to block many types of application attacks. When viewed from a risk management perspective, what metric is Tom attempting to lower by implementing this countermeasure? 1 . Impact 2 ."
"RPO
3",.
"MTO
4",. Likelihood 40 . Which one of the following individuals would be the most effective organizational owner for an information security program? 1 . CISSP-certified analyst 2 . Chief information officer (CIO) 3 . Manager of network security 4 . President and CEO 41 . What important function do senior managers normally fill on a business continuity planning team? 1 . Arbitrating disputes about criticality 2 . Evaluating the legal environment 3 . Training staff 4 . Designing failure controls 42 . You are the CISO for a major hospital system and are preparing to sign a contract with a software-as-a-service (SaaS) email vendor. You want to perform a control assessment to ensure that its business continuity planning measures are reasonable. What type of audit might you request to meet this goal? 1 .
SOC 1,2 .
"FISMA
3",. PCI DSS 4 .
SOC 2,"43 . Gary is analyzing a security incident and, during his investigation, encounters a user who denies having performed an action that Gary believes he did perform. What type of threat has taken place under the STRIDE model? 1 . Repudiation 2 . Information disclosure 3 . Tampering 4 . Elevation of privilege 44 . Beth is the security administrator for a public school district. She is implementing a new student information system and is testing the code to ensure that students are not able to alter their own grades. What principle of information security is Beth enforcing? 1 . Integrity 2 . Availability 3 . Confidentiality 4 . Denial 45 . Which one of the following issues is not normally addressed in a service-level agreement (SLA)? 1 . Confidentiality of customer information 2 . Failover time 3 . Uptime 4 . Maximum consecutive downtime 46 . Joan is seeking to protect a piece of computer software that she developed under intellectual property law. Which one of the following avenues of protection would not apply to a piece of software? 1 . Trademark 2 . Copyright 3 . Patent 4 . Trade secret For questions 47–49, please refer to the following scenario: Juniper Content is a web content development company with 40 employees located in two offices: one in New York and a smaller office in the San Francisco Bay Area. Each office has a local area network protected by a perimeter firewall. The local area network (LAN) contains modern switch equipment connected to both wired and wireless networks. Each office has its own file server, and the information technology (IT) team runs software every hour to synchronize files between the two servers, distributing content between the offices. These servers are primarily used to store images and other files related to web content developed by the company. The team also uses a SaaS-based email and document collaboration solution for much of their work. You are the newly appointed IT manager for Juniper Content, and you are working to augment existing security controls to improve the organization's security. 47 . Users in the two offices would like to access each other's file servers over the internet. What control would provide confidentiality for those communications? 1 . Digital signatures 2 . Virtual private network 3 . Virtual LAN 4 . Digital content management 48 . You are also concerned about the availability of data stored on each office's server. You would like to add technology that would enable continued access to files located on the server even if a hard drive in a server fails. What control allows you to add robustness without adding additional servers? 1 . Server clustering 2 . Load balancing 3 ."
"RAID
4",". Scheduled backups 49 . Finally, there are historical records stored on the server that are extremely important to the business and should never be modified. You would like to add an integrity control that allows you to verify on a periodic basis that the files were not modified. What control can you add? 1 . Hashing 2 . ACLs 3 . Read-only attributes 4 . Firewalls 50 . Beth is a human resources specialist preparing to assist in the termination of an employee. Which of the following is not typically part of a termination process? 1 . An exit interview 2 . Recovery of organizational property 3 . Account termination 4 . Signing an NCA 51 . Frances is reviewing her organization's business continuity plan documentation for completeness. Which one of the following is not normally included in business continuity plan documentation? 1 . Statement of accounts 2 . Statement of importance 3 . Statement of priorities 4 . Statement of organizational responsibility 52 . An accounting employee at Doolittle Industries was recently arrested for participation in an embezzlement scheme. The employee transferred money to a personal account and then shifted funds around between other accounts every day to disguise the fraud for months. Which one of the following controls might have best allowed the earlier detection of this fraud? 1 . Separation of duties 2 . Least privilege 3 . Defense in depth 4 . Mandatory vacation 53 . Jeff would like to adopt an industry-standard approach for assessing the processes his organization uses to manage risk. What maturity model would be most appropriate for his use? 1 ."
"CMM
2",. SW-CMM 3 .
"RMM
4",.
"COBIT
54",". Chris' organization recently suffered an attack that rendered their website inaccessible to paying customers for several hours. Which information security goal was most directly impacted? 1 . Confidentiality 2 . Integrity 3 . Availability 4 . Denial 55 . Yolanda is writing a document that will provide configuration information regarding the minimum level of security that every system in the organization must meet. What type of document is she preparing? 1 . Policy 2 . Baseline 3 . Guideline 16/220 4 . Procedure 56 . Who should receive initial business continuity plan training in an organization? 1 . Senior executives 2 . Those with specific business continuity roles 3 . Everyone in the organization 4 . First responders 57 . James is conducting a risk assessment for his organization and is attempting to assign an asset value to the servers in his data center. The organization's primary concern is ensuring that it has sufficient funds available to rebuild the data center in the event it is damaged or destroyed. Which one of the following asset valuation methods would be most appropriate in this situation? 1 . Purchase cost 2 . Depreciated cost 3 . Replacement cost 4 . Opportunity cost 58 . Roger's organization suffered a breach of customer credit card records. Under the terms of PCI DSS, what organization may choose to pursue an investigation of this matter? 1 ."
"FBI
2",". Local law enforcement 3 . Bank 4 . PCI SSC 59 . Rick recently engaged critical employees in each of his organization's business units to ask for their assistance with his security awareness program. They will be responsible for sharing security messages with their peers and answering questions about cybersecurity matters. What term best describes this relationship? 1 . Security champion 2 . Security expert 3 . Gamification 4 . Peer review 60 . Frank discovers a keylogger hidden on the laptop of his company's chief executive officer. What information security principle is the keylogger most likely designed to disrupt? 1 . Confidentiality 2 . Integrity 3 . Availability 4 . Denial 61 . Elise is helping her organization prepare to evaluate and adopt a new cloud-based human resource management (HRM) system vendor. What would be the most appropriate minimum security standard for her to require of possible vendors? 1 . Compliance with all laws and regulations 2 . Handling information in the same manner her organization would 3 . Elimination of all identified security risks 4 . Compliance with the vendor's own policies 62 . The following graphic shows the NIST risk management framework with a step missing. What is the missing step? 1 . Assess security controls. 2 . Determine control gaps. 3 . Remediate control gaps. 4 . Evaluate user activity. 63 . HAL Systems recently decided to stop offering public NTP services because of a fear that its NTP servers would be used in amplification DDoS attacks. What type of risk management strategy did HAL pursue with respect to its NTP services? 1 . Risk mitigation 2 . Risk acceptance 3 . Risk transference 4 . Risk avoidance 64 . Susan is working with the management team in her company to classify data in an attempt to apply extra security controls that will limit the likelihood of a data disclosure breach. What principle of information security is Susan trying to enforce? 1 . Availability 2 . Denial 3 . Confidentiality 4 . Integrity 65 . Which one of the following components should be included in an organization's emergency response guidelines? 1 . List of individuals who should be notified of an emergency incident 2 . Long-term business continuity protocols 3 . Activation procedures for the organization's cold sites 4 . Contact information for ordering equipment 66 . Chas recently completed the development of his organization's business continuity plan (BCP). Who is the ideal person to approve an organization's business continuity plan? 1 . Chief information officer 2 . Chief executive officer 3 . Chief information security officer 4 . Chief operating officer 67 . Which one of the following actions is not normally part of the project scope and planning phase of business continuity planning? 1 . Structured analysis of the organization 2 . Review of the legal and regulatory landscape 3 . Creation of a BCP team 4 . Documentation of the plan 68 . Gary is implementing a new website architecture that uses multiple small web servers behind a load balancer. What principle of information security is Gary seeking to enforce? 1 . Denial 2 . Confidentiality 3 . Integrity 4 . Availability 17/220 69 . Becka recently signed a contract with an alternate data processing facility that will provide her company with space in the event of a disaster. The facility includes HVAC, power, and communications circuits but no hardware. What type of facility is Becka using? 1 . Cold site 2 . Warm site 3 . Hot site 4 . Mobile site 70 . Greg's company recently experienced a significant data breach involving the personal data of many of their customers. The company operates only in the United States and has facilities in several different states. The personal information relates only to residents of the United States. Which breach laws should they review to ensure that they are taking appropriate action? 1 . The breach laws in the state where they are headquartered along with federal breach laws. 2 . The breach laws of states they do business in or where their customers reside along with federal breach laws. 3 . Only federal breach laws. 4 . Breach laws only cover government agencies, not private businesses. 71 . Ben is seeking a control objective framework that is widely accepted around the world and focuses specifically on information security controls. Which one of the following frameworks would best meet his needs? 1 ."
"ITIL
2",.
ISO 27002,3 .
"CMM
4",. PMBOK Guide 72 . Matt works for a telecommunications firm and was approached by a federal agent seeking assistance with wiretapping one of Matt's clients pursuant to a search warrant. Which one of the following laws requires that communications service providers cooperate with law enforcement requests? 1 .
"ECPA
2",.
"CALEA
3",". Privacy Act 4 . HITECH Act 73 . Every year, Gary receives privacy notices in the mail from financial institutions where he has accounts. What law requires the institutions to send Gary these notices? 1 ."
"FERPA
2",.
"GLBA
3",.
"HITECH
74",. Which one of the following agreements typically requires that a vendor not disclose confidential information learned during the scope of an engagement? 1 .
"NCA
2",.
"SLA
3",.
"NDA
4",.
"RTO
75",". The ISC2 Code of Ethics applies to all CISSP holders. Which of the following is not one of the four mandatory canons of the code? 1 . Protect society, the common good, the necessary public trust and confidence, and the infrastructure. 2 . Disclose breaches of privacy, trust, and ethics. 3 . Provide diligent and competent service to the principals. 4 . Advance and protect the profession. 76 . Which one of the following stakeholders is not typically included on a business continuity planning team? 1 . Core business function leaders 2 . Information technology staff 3 ."
"CEO
4",. Support departments 77 . Ben is designing a messaging system for a bank and would like to include a feature that allows the recipient of a message to prove to a third party that the message did indeed come from the purported originator. What goal is Ben trying to achieve? 1 . Authentication 2 . Authorization 3 . Integrity 4 . Nonrepudiation 78 . What principle of information security states that an organization should implement overlapping security controls whenever possible? 1 . Least privilege 2 . Separation of duties 3 . Defense in depth 4 . Security through obscurity 79 . Ryan is a CISSP-certified cybersecurity professional working in a nonprofit organization. Which of the following ethical obligations apply to his work? (Select all that apply.) 1 . ISC2 Code of Ethics 2 . Organizational code of ethics 3 . Federal code of ethics 4 .
RFC 1087,"80 . Ben is responsible for the security of payment card information stored in a database. Policy directs that he remove the information from the database, but he cannot do this for operational reasons. He obtained an exception to policy and is seeking an appropriate compensating control to mitigate the risk. What would be his best option? 1 . Purchasing insurance 2 . Encrypting the database contents 3 . Removing the data 4 . Objecting to the exception 81 . The Domer Industries risk assessment team recently conducted a qualitative risk assessment and developed a matrix similar to the one shown here. Which quadrant contains the risks that require the most immediate attention? 1 . I 2 ."
"II
3",.
"III
4",.
"IV
82",". Tom is planning to terminate an employee this afternoon for fraud and expects that the meeting will be somewhat hostile. He is coordinating the meeting with human resources and wants to protect the company against damage. Which one of the following steps is most important to coordinate in time with the termination meeting? 1 . Informing other employees of the termination 2 . Retrieving the employee's photo ID 3 . Calculating the final paycheck 4 . Revoking electronic access rights 83 . Rolando is a risk manager with a large-scale enterprise. The firm recently evaluated the risk of California mudslides on its operations in the region and determined that the cost of responding outweighed the benefits of any controls it could implement. The company chose to take no action at this time. What risk management strategy did Rolando's organization pursue? 1 . Risk avoidance 2 . Risk mitigation 3 . Risk transference 4 . Risk acceptance 84 . Helen is the owner of a U.S. website that provides information for middle and high school students preparing for exams. She is writing the site's privacy policy and would like to ensure that it complies with the provisions of the Children's Online Privacy Protection Act (COPPA). What is the cutoff age below which parents must give consent in advance of the collection of personal information from their children under COPPA? 18/220 1 . 13 2 . 15 3 . 17 4 . 18 85 . Tom is considering locating a business in the downtown area of Miami, Florida. He consults the FEMA flood plain map for the region, shown here, and determines that the area he is considering lies within a 100-year flood plain. What is the ARO of a flood in this area? Source: The City of North Miami 1 . 100 2 . 1 3 ."
0.1,4 .
0.01,"86 . You discover that a user on your network has been using the Wireshark tool, as shown here. Further investigation revealed that he was using it for illicit purposes. What pillar of information security has most likely been violated? Source: The Wireshark Foundation 1 . Integrity 2 . Denial 3 . Availability 4 . Confidentiality 87 . Alan is performing threat modeling and decides that it would be useful to decompose the system into the core elements shown here. What tool is he using? 19/220 1 . Vulnerability assessment 2 . Fuzzing 3 . Reduction analysis 4 . Data modeling 88 . Shahla is reviewing the privacy laws that apply to a new enterprise that her company will be launching in South Africa. This is the company's first expansion into that country, and the enterprise will involve handling the personal information of residents of South Africa. What law will likely affect this operation? 1 ."
"PIPL
2",. PCI DSS 3 .
"PIPEDA
4",.
"POPIA
89",". Which type of business impact assessment tool is most appropriate when attempting to evaluate the impact of a failure on customer confidence? 1 . Quantitative 2 . Qualitative 3 . Annualized loss expectancy 4 . Reduction 90 . Ryan is a security risk analyst for an insurance company. He is currently examining a scenario in which a malicious hacker might use a SQL injection attack to deface a web server due to a missing patch in the company's web application. In this scenario, what is the threat? 1 . Unpatched web application 2 . Web defacement 3 . Malicious hacker 4 . Operating system For questions 91–93, please refer to the following scenario: Henry is the risk manager for Atwood Landing, a resort community in the midwestern United States. The resort's main data center is located in northern Indiana in an area that is prone to tornados. Henry recently undertook a replacement cost analysis and determined that rebuilding and reconfiguring the data center would cost $10 million. Henry consulted with tornado experts, data center specialists, and structural engineers. Together, they determined that a typical tornado would cause approximately $5 million of damage to the facility. The meteorologists determined that Atwood's facility lies in an area where they are likely to experience a tornado once every 200 years. 91 . Based upon the information in this scenario, what is the exposure factor for the effect of a tornado on Atwood Landing's data center? 1 . 10% 2 . 25% 3 . 50% 4 . 75% 92 . Based upon the information in this scenario, what is the annualized rate of occurrence for a tornado at Atwood Landing's data center? 1 . 0.0025 2 . 0.005 3 ."
0.01,"4 . 0.015 93 . Based upon the information in this scenario, what is the annualized loss expectancy for a tornado at Atwood Landing's data center? 1 . $25,000 2 . $50,000 3 . $250,000 4 . $500,000 94 . John is analyzing an attack against his company in which the attacker found comments embedded in HTML code that provided the clues needed to exploit a software vulnerability. Using the STRIDE model, what type of attack did he uncover? 1 . Spoofing 2 . Repudiation 3 . Information disclosure 4 . Elevation of privilege 95 . Chris is worried that the laptops that his organization has recently acquired were modified by a third party to include keyloggers before they were delivered. Where should he focus his efforts to prevent this? 1 . His supply chain 2 . His vendor contracts 3 . His post-purchase build process 4 . The original equipment manufacturer (OEM) 96 . In her role as a developer for an online bank, Lisa is required to submit her code for testing and review. After it passes through this process and it is approved, another employee moves the code to the production environment. What security management does this process describe? 1 . Regression testing 2 . Code review 3 . Change management 20/220 4 . Fuzz testing 97 . After completing the first year of his security awareness program, Charles reviews the data about how many staff completed training compared to how many were assigned the training to determine whether he hit the 95% completion rate he was aiming for. What is this type of measure called? 1 . A KPI 2 . A metric 3 . An awareness control 4 . A return on investment rate 98 . Which of the following is not typically included in a prehire screening process? 1 . A drug test 2 . A background check 3 . Social media review 4 . Fitness evaluation 99 . Which of the following would normally be considered a supply chain risk? (Select all that apply.) 1 . Adversary tampering with hardware prior to being shipped to the end customer 2 . Adversary hacking into a web server run by the organization in an IaaS environment 3 . Adversary using social engineering to compromise an employee of a SaaS vendor to gain access to customer accounts 4 . Adversary conducting a denial-of-service attack using a botnet 100 . Match the following numbered laws or industry standards to their lettered description: Laws and industry standards: 1 ."
"GLBA
2",. PCI DSS 3 .
"HIPAA
4",". SOX Descriptions: 1 . A U.S. law that requires covered financial institutions to provide their customers with a privacy notice on a yearly basis 2 . A U.S. law that requires internal controls assessments, including IT transaction flows for publicly traded companies 3 . An industry standard that covers organizations that handle payment cards 4 . A U.S. law that provides data privacy and security requirements for medical information 21/220 Chapter 2Asset Security (Domain 2)SUBDOMAINS"
2.1,Identify and classify information and assets
2.2,Establish information and asset handling requirements
2.3,Provision information and assets securely
2.4,Manage data lifecycle
2.5,"Ensure appropriate asset retention (e.g., End of Life (EOL), End of Support)"
